employee_id,age,gender,education_level,department,job_level,years_at_company,years_in_role,monthly_salary,training_hours_per_year,num_projects_completed,overtime_hours_per_month,absenteeism_days,certifications_earned,manager_rating,peer_rating,work_life_balance_score,job_satisfaction_score,last_promotion_years_ago,performance_score
1001,50,Male,Bachelor's,HR,Lead,0,0,8400,110,2,4,0,3,3,3,10,1,0,2
1002,36,Male,Bachelor's,Operations,Junior,2,2,2308,63,6,1,11,6,5,5,3,6,0,1
1003,29,Male,High School,Product,Mid,11,7,4722,42,9,6,5,0,5,3,6,8,9,2
1004,42,Non-binary,Bachelor's,HR,Lead,34,6,8449,119,3,8,0,4,4,4,8,10,15,3
1005,40,Female,Master's,Support,Senior,21,5,5486,57,16,1,5,4,3,2,10,2,0,2
1006,44,Female,Bachelor's,Operations,Junior,10,8,2018,40,25,1,5,4,3,3,2,4,4,2
1007,32,Female,Bachelor's,Support,Mid,2,0,4420,80,24,5,0,1,3,4,9,3,0,3
1008,32,Male,Master's,Finance,Mid,5,2,4783,67,15,5,1,7,4,2,5,9,0,2
1009,45,Male,Master's,Marketing,Mid,2,0,5029,115,29,6,3,5,5,3,5,3,0,3
1010,57,Female,Master's,Sales,Mid,5,5,5169,114,12,5,2,2,3,2,1,8,4,1
1011,45,Male,Bachelor's,Marketing,Senior,1,0,5905,38,23,2,6,0,3,4,6,7,0,3
1012,24,Female,Bachelor's,Engineering,Junior,4,0,3585,0,8,2,2,7,4,5,5,1,3,1
1013,43,Female,Master's,Support,Senior,3,3,5258,40,26,1,0,1,2,4,7,8,0,2
1014,23,Male,Bachelor's,Product,Lead,0,0,8048,44,6,0,14,3,4,5,7,9,0,3
1015,45,Non-binary,High School,Sales,Mid,7,5,4388,87,3,5,1,1,4,4,4,8,0,2
1016,51,Female,Bachelor's,HR,Mid,0,0,4332,97,23,0,5,3,4,5,5,10,0,3
1017,59,Female,Bachelor's,Support,Mid,1,1,3576,97,4,13,0,3,3,4,10,10,1,3
1018,23,Male,Bachelor's,Finance,Mid,0,0,4846,87,27,8,1,4,5,4,8,1,0,3
1019,42,Male,Bachelor's,Finance,Senior,2,1,8357,78,10,9,2,1,2,3,2,7,1,2
1020,54,Female,Bachelor's,Support,Mid,0,0,3789,80,14,11,0,2,5,4,1,9,0,3
1021,33,Male,High School,Support,Senior,12,7,5150,12,21,2,2,3,3,3,6,5,12,1
1022,43,Male,Bachelor's,Support,Mid,2,0,4013,70,24,9,0,6,5,2,4,2,0,2
1023,46,Female,Bachelor's,HR,Mid,3,0,4249,8,15,0,3,4,4,5,10,8,0,1
1024,48,Male,Master's,Engineering,Junior,2,1,2430,107,7,0,4,2,2,1,3,9,2,1
1025,49,Female,Bachelor's,HR,Junior,4,3,2607,62,7,7,0,7,5,5,7,7,0,3
1026,37,Female,Bachelor's,Operations,Junior,7,5,2597,98,8,0,8,7,4,4,8,5,3,3
1027,36,Female,Bachelor's,Product,Mid,5,3,5218,22,10,22,0,7,1,3,4,8,5,1
1028,24,Male,Bachelor's,Support,Lead,6,1,7760,53,19,5,1,1,2,4,10,6,2,2
1029,58,Female,Bachelor's,Product,Senior,11,1,7287,46,19,7,4,2,4,4,6,4,1,2
1030,28,Male,Bachelor's,Engineering,Mid,9,1,5598,38,2,1,2,1,4,3,2,1,7,1
1031,42,Male,Master's,Sales,Junior,5,2,2319,86,15,5,2,3,4,4,8,6,2,3
1032,30,Female,Bachelor's,HR,Junior,1,1,2601,25,1,0,0,7,4,4,6,8,0,2
1033,39,Male,Bachelor's,Engineering,Mid,5,4,6474,0,10,9,6,0,4,3,9,3,3,2
1034,25,Male,Master's,Product,Mid,3,0,4690,13,6,0,3,0,4,1,6,7,3,1
1035,46,Female,Bachelor's,Sales,Mid,6,3,4235,95,22,5,0,7,4,3,6,7,0,3
1036,35,Male,Bachelor's,HR,Junior,8,6,2322,114,13,1,1,5,3,3,2,9,4,3
1037,30,Male,Bachelor's,Finance,Junior,6,3,3038,111,10,0,6,5,5,2,5,1,0,2
1038,47,Male,Master's,HR,Junior,9,8,2234,73,12,3,3,3,1,4,9,5,6,1
1039,23,Female,Bachelor's,Marketing,Junior,0,0,2735,64,24,0,0,2,3,3,1,8,0,1
1040,41,Female,Bachelor's,HR,Senior,0,0,6779,68,6,6,1,1,4,5,4,3,0,2
1041,49,Male,Bachelor's,Marketing,Junior,1,1,2765,66,6,1,1,7,3,3,10,5,0,2
1042,28,Male,Master's,Sales,Mid,11,9,3772,48,1,2,2,0,1,3,10,1,3,1
1043,29,Male,High School,HR,Senior,8,3,6871,49,12,4,7,7,2,4,3,9,6,1
1044,56,Male,PhD,Sales,Lead,5,1,9524,57,23,1,2,1,4,5,1,4,5,2
1045,35,Female,Bachelor's,Sales,Lead,6,2,9431,52,23,2,2,3,5,4,1,5,5,3
1046,38,Male,PhD,Product,Senior,6,0,8103,90,10,8,9,2,4,3,1,3,4,1
1047,57,Male,Master's,Engineering,Junior,14,0,3321,114,25,0,3,6,4,5,1,2,12,3
1048,25,Female,Bachelor's,Sales,Senior,8,6,7584,117,14,0,3,1,3,3,2,7,3,1
1049,23,Female,Bachelor's,Sales,Senior,4,4,8197,56,15,1,1,7,3,2,5,5,2,1
1050,27,Female,Bachelor's,Product,Junior,5,2,2827,85,28,2,3,2,1,3,2,10,2,1
1051,25,Male,Bachelor's,Product,Mid,1,0,5769,17,23,3,3,6,3,4,4,3,1,2
1052,50,Male,Master's,HR,Lead,5,5,7848,15,24,2,2,0,3,1,9,2,1,1
1053,39,Male,Bachelor's,Product,Mid,2,1,5140,1,4,7,18,1,3,4,3,10,0,2
1054,47,Male,Bachelor's,HR,Junior,0,0,2115,110,25,0,8,4,2,4,2,6,0,1
1055,55,Female,Bachelor's,Finance,Junior,8,2,2914,12,1,2,5,0,4,5,4,10,2,2
1056,31,Female,Master's,Product,Mid,3,0,4688,44,8,2,3,2,5,3,9,6,2,2
1057,57,Female,Bachelor's,Engineering,Junior,18,15,3099,79,3,5,2,3,5,3,4,3,6,1
1058,35,Female,High School,Sales,Senior,1,1,6119,71,14,16,0,4,4,3,5,9,0,3
1059,52,Male,High School,Engineering,Senior,3,1,7760,42,17,3,1,5,2,3,4,1,0,1
1060,36,Female,Master's,Marketing,Junior,2,2,2518,71,2,21,5,1,4,4,8,3,0,3
1061,29,Male,Bachelor's,Support,Lead,0,0,7193,53,15,1,2,7,2,4,4,1,0,1
1062,35,Female,Bachelor's,Product,Mid,2,2,4367,73,6,0,8,5,4,4,2,7,1,2
1063,44,Male,Bachelor's,Sales,Junior,1,0,2352,118,5,0,0,0,4,4,4,2,0,3
1064,42,Male,Bachelor's,Engineering,Senior,0,0,8419,96,14,2,2,7,4,5,2,4,0,3
1065,37,Male,Bachelor's,Product,Senior,1,0,7189,30,19,1,4,1,5,3,9,4,1,2
1066,39,Non-binary,Master's,Product,Senior,1,1,8651,75,9,0,2,1,4,5,8,8,1,3
1067,45,Male,Master's,Support,Lead,6,1,7285,8,8,2,8,4,4,3,9,4,0,1
1068,47,Male,Bachelor's,Finance,Senior,0,0,7955,100,29,2,18,4,3,4,4,3,0,2
1069,46,Male,Master's,Finance,Lead,4,1,10840,72,3,0,0,4,5,4,1,10,0,2
1070,50,Female,Bachelor's,Sales,Mid,7,0,4441,47,18,1,0,4,3,4,3,3,6,1
1071,36,Female,Master's,Marketing,Senior,3,1,6185,17,8,10,0,3,5,3,7,5,1,3
1072,22,Female,Master's,Finance,Manager,13,7,12502,93,16,1,4,7,3,4,1,6,5,2
1073,46,Male,Bachelor's,Support,Senior,6,5,5911,95,15,6,1,7,2,5,8,7,1,3
1074,28,Female,Master's,Finance,Junior,6,5,2943,103,21,4,5,2,5,4,9,5,4,3
1075,30,Male,Bachelor's,Marketing,Mid,1,1,4983,86,15,2,2,4,1,4,8,7,0,3
1076,45,Female,Bachelor's,Engineering,Senior,7,0,7952,10,16,1,3,0,5,2,5,4,4,2
1077,22,Female,Bachelor's,Finance,Junior,8,3,3009,61,25,2,5,7,3,3,9,5,1,3
1078,29,Male,Bachelor's,Support,Manager,2,2,8643,83,1,4,3,1,5,5,4,6,0,3
1079,45,Male,Master's,HR,Junior,1,0,2266,18,10,2,3,5,4,4,9,9,1,3
1080,32,Male,Master's,Support,Junior,2,1,2267,99,19,1,0,4,4,4,1,6,2,3
1081,38,Male,Bachelor's,Operations,Lead,6,5,9022,115,5,0,2,0,3,3,3,10,3,2
1082,29,Male,Master's,Operations,Mid,2,1,4352,89,18,10,3,3,2,1,4,1,1,1
1083,56,Female,Master's,Finance,Junior,6,0,3009,73,3,2,2,0,5,3,10,7,3,3
1084,56,Male,Bachelor's,Engineering,Senior,0,0,7993,23,4,4,9,5,3,3,1,3,0,1
1085,54,Male,Bachelor's,Product,Senior,8,3,8070,12,4,3,9,5,3,3,6,6,7,1
1086,26,Male,Bachelor's,Engineering,Junior,1,1,3493,115,11,10,6,0,4,3,4,2,1,1
1087,49,Male,Master's,Support,Manager,1,1,9150,45,9,3,1,3,4,4,4,7,1,2
1088,28,Female,Master's,Sales,Mid,4,2,4431,52,1,3,5,7,3,4,1,1,0,1
1089,30,Male,Bachelor's,HR,Senior,0,0,6452,97,28,12,2,5,2,3,5,2,0,2
1090,29,Female,Master's,Engineering,Mid,0,0,5676,28,25,6,1,3,2,4,9,9,0,2
1091,33,Female,Bachelor's,Marketing,Senior,1,1,5901,35,16,0,1,1,5,5,6,9,1,3
1092,55,Female,Bachelor's,Support,Mid,3,1,3813,70,9,0,0,4,1,3,8,7,3,2
1093,54,Female,Bachelor's,HR,Mid,11,11,3266,114,11,7,1,5,5,5,4,2,8,3
1094,44,Male,Bachelor's,Operations,Mid,9,7,4367,93,6,9,2,0,3,5,9,5,7,3
1095,45,Non-binary,High School,Support,Lead,3,0,7595,16,27,3,12,7,2,2,7,4,3,2
1096,58,Male,Bachelor's,HR,Junior,0,0,2686,47,17,4,1,2,4,2,7,2,0,1
1097,56,Male,High School,Marketing,Senior,3,2,6303,76,27,4,9,2,2,3,8,2,3,1
1098,43,Female,Bachelor's,Finance,Lead,6,0,9793,119,29,2,1,6,4,4,2,10,1,3
1099,48,Female,Bachelor's,Marketing,Junior,2,2,2998,23,12,5,0,1,5,3,6,8,2,1
1100,56,Female,Master's,Marketing,Junior,0,0,2996,53,22,0,2,2,1,3,7,5,0,1
