employee_id,age,gender,education_level,department,job_level,years_at_company,years_in_role,monthly_salary,training_hours_per_year,num_projects_completed,overtime_hours_per_month,absenteeism_days,certifications_earned,manager_rating,peer_rating,work_life_balance_score,job_satisfaction_score,last_promotion_years_ago,performance_score,salary_per_year_experience,productivity_index,training_to_experience_ratio,avg_rating,loyalty_score,engagement_score
1001,50,Male,Bachelor's,HR,Lead,0,0,8400,110,2,4,0,3,3,3,10,1,0,2,8400000000.0,2000000.0,110.0,3.0,0.0,0.55
1002,36,Male,Bachelor's,Operations,Junior,2,2,2308,63,6,1,11,6,5,5,3,6,0,1,1154.0,3.0,21.0,5.0,0.056,0.45
1003,29,Male,High School,Product,Mid,11,7,4722,42,9,6,5,0,5,3,6,8,9,2,429.27,0.818,3.5,4.0,0.379,0.7
1004,42,Non-binary,Bachelor's,HR,Lead,34,6,8449,119,3,8,0,4,4,4,8,10,15,3,248.5,0.088,3.4,4.0,0.81,0.9
1005,40,Female,Master's,Support,Senior,21,5,5486,57,16,1,5,4,3,2,10,2,0,2,261.24,0.762,2.591,2.5,0.525,0.6
1006,44,Female,Bachelor's,Operations,Junior,10,8,2018,40,25,1,5,4,3,3,2,4,4,2,201.8,2.5,3.636,3.0,0.227,0.3
1007,32,Female,Bachelor's,Support,Mid,2,0,4420,80,24,5,0,1,3,4,9,3,0,3,2210.0,12.0,26.667,3.5,0.062,0.6
1008,32,Male,Master's,Finance,Mid,5,2,4783,67,15,5,1,7,4,2,5,9,0,2,956.6,3.0,11.167,3.0,0.156,0.7
1009,45,Male,Master's,Marketing,Mid,2,0,5029,115,29,6,3,5,5,3,5,3,0,3,2514.5,14.5,38.333,4.0,0.044,0.4
1010,57,Female,Master's,Sales,Mid,5,5,5169,114,12,5,2,2,3,2,1,8,4,1,1033.8,2.4,19.0,2.5,0.088,0.45
1011,45,Male,Bachelor's,Marketing,Senior,1,0,5905,38,23,2,6,0,3,4,6,7,0,3,5904.99,23.0,19.0,3.5,0.022,0.65
1012,24,Female,Bachelor's,Engineering,Junior,4,0,3585,0,8,2,2,7,4,5,5,1,3,1,896.25,2.0,0.0,4.5,0.167,0.3
1013,43,Female,Master's,Support,Senior,3,3,5258,40,26,1,0,1,2,4,7,8,0,2,1752.67,8.667,10.0,3.0,0.07,0.75
1014,23,Male,Bachelor's,Product,Lead,0,0,8048,44,6,0,14,3,4,5,7,9,0,3,8048000000.0,6000000.0,44.0,4.5,0.0,0.8
